label,id
0,20800
0,20801
0,20802
0,20803
0,20804
1,20805
0,20806
0,20807
0,20808
0,20809
1,20810
0,20811
0,20812
1,20813
0,20814
0,20815
0,20816
0,20817
1,20818
0,20819
0,20820
1,20821
0,20822
1,20823
1,20824
0,20825
1,20826
0,20827
0,20828
1,20829
0,20830
1,20831
0,20832
0,20833
0,20834
0,20835
0,20836
0,20837
0,20838
0,20839
0,20840
0,20841
1,20842
0,20843
0,20844
1,20845
0,20846
0,20847
1,20848
0,20849
0,20850
0,20851
0,20852
0,20853
0,20854
0,20855
1,20856
0,20857
0,20858
0,20859
0,20860
0,20861
0,20862
0,20863
0,20864
0,20865
0,20866
0,20867
0,20868
0,20869
0,20870
0,20871
0,20872
0,20873
0,20874
0,20875
0,20876
0,20877
0,20878
0,20879
0,20880
0,20881
0,20882
1,20883
0,20884
0,20885
0,20886
0,20887
0,20888
0,20889
1,20890
0,20891
0,20892
0,20893
1,20894
0,20895
0,20896
0,20897
0,20898
0,20899
0,20900
0,20901
0,20902
0,20903
0,20904
0,20905
0,20906
0,20907
1,20908
1,20909
0,20910
0,20911
0,20912
0,20913
0,20914
0,20915
0,20916
0,20917
0,20918
1,20919
0,20920
0,20921
0,20922
0,20923
0,20924
0,20925
1,20926
0,20927
1,20928
0,20929
0,20930
0,20931
0,20932
0,20933
0,20934
0,20935
0,20936
0,20937
0,20938
0,20939
0,20940
0,20941
1,20942
1,20943
1,20944
0,20945
0,20946
0,20947
0,20948
0,20949
0,20950
0,20951
0,20952
0,20953
0,20954
0,20955
0,20956
0,20957
0,20958
1,20959
1,20960
0,20961
1,20962
0,20963
0,20964
1,20965
0,20966
0,20967
1,20968
0,20969
0,20970
0,20971
0,20972
0,20973
0,20974
0,20975
0,20976
0,20977
0,20978
0,20979
0,20980
0,20981
0,20982
0,20983
0,20984
1,20985
0,20986
0,20987
0,20988
0,20989
0,20990
0,20991
0,20992
0,20993
1,20994
1,20995
0,20996
0,20997
1,20998
0,20999
0,21000
1,21001
0,21002
1,21003
1,21004
0,21005
0,21006
0,21007
0,21008
0,21009
0,21010
0,21011
0,21012
0,21013
0,21014
0,21015
1,21016
0,21017
0,21018
0,21019
0,21020
1,21021
0,21022
0,21023
0,21024
1,21025
0,21026
1,21027
0,21028
0,21029
0,21030
0,21031
0,21032
0,21033
1,21034
0,21035
0,21036
0,21037
0,21038
0,21039
0,21040
0,21041
0,21042
1,21043
0,21044
0,21045
0,21046
1,21047
0,21048
0,21049
0,21050
1,21051
0,21052
0,21053
0,21054
0,21055
0,21056
